Solution File 

49, 7, 1
62, 17, 1
29, 16, 0
83, 13, 3
102, 12, 1
37, 13, 2
90, 10, 1
89, 14, 0
80, 3, 1
118, 14, 0
95, 17, 0
48, 12, 0
78, 14, 0
83, 11, 0
69, 5, 0
54, 3, 1
92, 11, 3
138, 19, 2
139, 0, 1
35, 2, 0
131, 12, 3
77, 8, 2
24, 15, 1
138, 5, 2
129, 4, 0
68, 14, 1
140, 12, 3
78, 0, 0
127, 13, 0
37, 7, 1
96, 5, 0
115, 12, 3
62, 8, 2
140, 4, 0
23, 11, 1
53, 13, 0
95, 2, 2
138, 14, 2
69, 2, 1
98, 11, 3
34, 10, 3
29, 14, 1
139, 3, 2
70, 11, 3
82, 3, 1
129, 3, 1
44, 8, 0
34, 4, 2
141, 18, 0
33, 5, 3
